Affiliate,Hits,Uniques,Installs,Registrations,FTD,PNL,In-Out,Our Profit,Aff Profit,ROI,ROAS,Clicks,Deposit count,Deposit sum
758330,3,3,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
758328,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
758321,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
758314,27,8,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
758284,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
758279,14,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
758239,17,16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
758227,8,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
758221,165,99,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
758219,1084,654,0,40,13,109.48,255.46,56.91,52.56,486.0,208.28,0,22,542.86
758211,6,3,0,1,1,10.57,10.57,5.41,5.15,204.92,204.92,0,1,10.57
758199,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
758175,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
758171,4,4,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
758124,3626,2092,0,182,36,662.96,736.76,348.64,314.31,234.4,210.92,0,71,901.91
758057,2,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
757976,12,6,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
757938,15,10,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
757927,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
757917,4,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
757862,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
757822,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
757775,9,4,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
757774,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
757699,2,2,0,1,1,-5.38,131.55,-16.43,11.05,1190.09,-48.68,0,6,332.6
757648,17,13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
