Month,Affiliate,Hits,Uniques,Installs,Registrations,FTD,PNL,In-Out,Our Profit,Aff Profit,ROI,ROAS,Clicks,Deposit count,Deposit sum
2024-11,435438,4,3,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,435292,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,435185,3310,1734,0,532,298,8194.89,15778.27,2475.17,5719.72,275.86,143.27,0,549,21687.98
2024-11,435162,80,65,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,435049,17,16,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,435009,53,51,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,434913,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,434887,6,5,0,1,1,10.2,10.34,5.3,4.89,211.25,208.33,0,1,10.34
2024-11,434742,6,5,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,434716,7,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,434668,250,128,0,54,3,30.86,31.1,16.04,14.81,209.99,208.33,0,3,31.1
2024-11,434625,6,4,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,434554,9,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,434548,22,18,0,6,2,25.7,35.18,8.83,16.86,208.58,152.4,0,2,97.45
2024-11,434525,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,434512,29,29,0,3,1,10.29,10.39,5.35,4.93,210.37,208.33,0,1,10.39
2024-11,434447,87,70,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,434425,19,15,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-11,434391,58,35,0,14,3,-25.38,-25.23,-44.69,19.31,-130.64,-131.4,0,7,138.65
